Reference,Qty,Value,Footprint,URL,Datasheet
Column1,Column2,Column3,Column4,Column5,Column6
"C1,C3,C9,C11",4,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"https://fr.aliexpress.com/item/1005007123309391.html?spm=a2g0o.productlist.main.8.17396426oVNcHO&aem_p4p_detail=20260413010546766180711718890002376837&algo_pvid=d7eed463-85af-44a1-89e7-07b233714f7c&algo_exp_id=d7eed463-85af-44a1-89e7-07b233714f7c-7&pdp_ext_f=%7B""order""%3A""606""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.75%210.71%21%21%215.88%215.58%21%40211b612517760675459493183eb70b%2112000039476515743%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=kxj1phJtiKrh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007123309391%7C_p_origin_prod%3A&search_p4p_id=20260413010546766180711718890002376837_2",
C4,1,10nF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"https://fr.aliexpress.com/item/1005007123309391.html?spm=a2g0o.productlist.main.8.17396426oVNcHO&aem_p4p_detail=20260413010546766180711718890002376837&algo_pvid=d7eed463-85af-44a1-89e7-07b233714f7c&algo_exp_id=d7eed463-85af-44a1-89e7-07b233714f7c-7&pdp_ext_f=%7B""order""%3A""606""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.75%210.71%21%21%215.88%215.58%21%40211b612517760675459493183eb70b%2112000039476515743%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=kxj1phJtiKrh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007123309391%7C_p_origin_prod%3A&search_p4p_id=20260413010546766180711718890002376837_2",
C5,1,47pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"https://fr.aliexpress.com/item/1005007123309391.html?spm=a2g0o.productlist.main.8.17396426oVNcHO&aem_p4p_detail=20260413010546766180711718890002376837&algo_pvid=d7eed463-85af-44a1-89e7-07b233714f7c&algo_exp_id=d7eed463-85af-44a1-89e7-07b233714f7c-7&pdp_ext_f=%7B""order""%3A""606""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.75%210.71%21%21%215.88%215.58%21%40211b612517760675459493183eb70b%2112000039476515743%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=kxj1phJtiKrh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007123309391%7C_p_origin_prod%3A&search_p4p_id=20260413010546766180711718890002376837_2",
C6,1,100uF,Capacitor_SMD:CP_Elec_6.3x7.7,https://fr.aliexpress.com/item/1005011788806644.html?spm=a2g0o.cart.0.0.241838da9CdVed&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.99%21EUR%202.61%21%21EUR%202.61%21%21%21%40210390c917760691755697531e12b5%2112000056577511678%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,
C7,1,1000uF,lib:1000uF_THT_CAP,Forge,
"C8,C12",2,10uF,Capacitor_SMD:CP_Elec_4x5.4,https://fr.aliexpress.com/item/1005011788806644.html?spm=a2g0o.cart.0.0.3d0a38daoh3vzD&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.99%21EUR%202.61%21%21EUR%202.61%21%21%21%40210390c917760690841224693e12b5%2112000056577511678%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,
C10,1,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,"https://fr.aliexpress.com/item/1005007123309391.html?spm=a2g0o.productlist.main.8.17396426oVNcHO&aem_p4p_detail=20260413010546766180711718890002376837&algo_pvid=d7eed463-85af-44a1-89e7-07b233714f7c&algo_exp_id=d7eed463-85af-44a1-89e7-07b233714f7c-7&pdp_ext_f=%7B""order""%3A""606""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.75%210.71%21%21%215.88%215.58%21%40211b612517760675459493183eb70b%2112000039476515743%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=kxj1phJtiKrh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007123309391%7C_p_origin_prod%3A&search_p4p_id=20260413010546766180711718890002376837_2",
D1,1,1N5822,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,"https://fr.aliexpress.com/item/1005011993230684.html?spm=a2g0o.productlist.main.7.659720ba7eKx19&algo_pvid=ad0ecf95-64b1-43e4-af45-905572fe6ba0&algo_exp_id=ad0ecf95-64b1-43e4-af45-905572fe6ba0-6&pdp_ext_f=%7B""order""%3A""3""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%211.25%211.69%21%21%219.74%2113.18%21%4021038e6617760677289966647ed0b9%2112000057215789501%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000203717740&curPageLogUid=sJz5IqSAtpuW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011993230684%7C_p_origin_prod%3A",http://www.vishay.com/docs/88526/1n5820.pdf
"D2,D3,D4,D5",4,LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://fr.aliexpress.com/item/1005008071252929.html?spm=a2g0o.cart.0.0.633038da0nIOVJ&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.64%21EUR%202.64%21%21EUR%202.64%21%21%21%40210390c917760693935054815e12b5%2112000043530474618%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,
